Symbol,Company Name,Date,TobinsQ
MMM,3M,30-12-22,1.424687289
MMM,3M,31-12-21,2.162882683
MMM,3M,31-12-20,2.146057424
MMM,3M,31-12-19,2.281797829
MMM,3M,31-12-18,3.019009273
MMM,3M,29-12-17,3.701703359
MMM,3M,30-12-16,3.261547549
MMM,3M,31-12-15,2.7999246
AOS,A. O. Smith,30-12-22,2.778771721
AOS,A. O. Smith,31-12-21,3.879819218
AOS,A. O. Smith,31-12-20,2.808037972
AOS,A. O. Smith,31-12-19,2.521769778
AOS,A. O. Smith,31-12-18,2.325073013
AOS,A. O. Smith,29-12-17,3.290124982
AOS,A. O. Smith,30-12-16,2.840698375
AOS,A. O. Smith,31-12-15,2.533243171
ABT,Abbott Laboratories,30-12-22,2.571629611
ABT,Abbott Laboratories,31-12-21,3.286841008
ABT,Abbott Laboratories,31-12-20,2.689710047
ABT,Abbott Laboratories,31-12-19,2.27032398
ABT,Abbott Laboratories,31-12-18,1.90523674
ABT,Abbott Laboratories,29-12-17,1.308464186
ABT,Abbott Laboratories,30-12-16,1.07784606
ABT,Abbott Laboratories,31-12-15,1.604094569
ABBV,AbbVie,30-12-22,2.059523066
ABBV,AbbVie,31-12-21,1.636803844
ABBV,AbbVie,31-12-20,1.256714471
ABBV,AbbVie,31-12-19,1.467146659
ABBV,AbbVie,31-12-18,2.296110398
ABBV,AbbVie,29-12-17,2.175218142
ABBV,AbbVie,30-12-16,1.508693729
ABBV,AbbVie,31-12-15,1.806075851
ABMD,Abiomed,23-12-22,10.33088996
ABMD,Abiomed,31-12-21,10.92273052
ABMD,Abiomed,31-12-20,12.05853796
ABMD,Abiomed,31-12-19,7.287336036
ABMD,Abiomed,31-12-18,18.56349889
ABMD,Abiomed,29-12-17,15.06562382
ABMD,Abiomed,30-12-16,11.54387171
ACN,Accenture,30-12-22,3.610597538
ACN,Accenture,31-12-21,6.167987848
ACN,Accenture,31-12-20,4.541503208
ACN,Accenture,31-12-19,4.570305673
ACN,Accenture,31-12-18,3.738372613
ACN,Accenture,29-12-17,4.313313337
ACN,Accenture,30-12-16,3.647321815
ATVI,Activision Blizzard,30-12-22,2.186104517
ATVI,Activision Blizzard,31-12-21,2.071096743
ATVI,Activision Blizzard,31-12-20,3.113884201
ATVI,Activision Blizzard,31-12-19,2.302543714
ATVI,Activision Blizzard,31-12-18,1.994924586
ATVI,Activision Blizzard,29-12-17,2.567668738
ATVI,Activision Blizzard,30-12-16,1.539413248
ATVI,Activision Blizzard,31-12-15,1.865572749
ADM,ADM,30-12-22,0.863663131
ADM,ADM,31-12-21,0.681486746
ADM,ADM,31-12-20,0.566769042
ADM,ADM,31-12-19,0.58468191
ADM,ADM,31-12-18,0.561878872
ADM,ADM,29-12-17,0.558630733
ADM,ADM,30-12-16,0.657734668
ADM,ADM,31-12-15,0.543481834
ADBE,Adobe Inc.,30-12-22,5.686260629
ADBE,Adobe Inc.,31-12-21,9.846164972
ADBE,Adobe Inc.,31-12-20,9.86482787
ADBE,Adobe Inc.,31-12-19,7.656553192
ADBE,Adobe Inc.,31-12-18,5.883087019
ADBE,Adobe Inc.,29-12-17,5.932264967
ADBE,Adobe Inc.,30-12-16,4.007228187
ADBE,Adobe Inc.,31-12-15,3.99845772
ADP,ADP,30-12-22,1.569090255
ADP,ADP,31-12-21,2.113795643
ADP,ADP,31-12-20,1.915613486
ADP,ADP,31-12-19,1.75027514
ADP,ADP,31-12-18,1.534677462
ADP,ADP,29-12-17,1.390134811
ADP,ADP,30-12-16,1.054159881
AAP,Advance Auto Parts,30-12-22,0.725859638
AAP,Advance Auto Parts,31-12-21,1.297255814
AAP,Advance Auto Parts,31-12-19,0.98502061
AAP,Advance Auto Parts,31-12-18,1.250306507
AAP,Advance Auto Parts,29-12-17,0.868630836
AAP,Advance Auto Parts,30-12-16,1.496182329
AAP,Advance Auto Parts,31-12-15,1.358103907
AMD,Advanced Micro Devices,30-12-22,1.162563036
AMD,Advanced Micro Devices,31-12-21,16.14080844
AMD,Advanced Micro Devices,31-12-20,12.41287994
AMD,Advanced Micro Devices,31-12-19,8.901161248
AMD,Advanced Micro Devices,31-12-18,4.230079017
AMD,Advanced Micro Devices,29-12-17,2.802316384
AMD,Advanced Micro Devices,30-12-16,3.17902439
AMD,Advanced Micro Devices,31-12-15,0.732039241
AES,AES Corporation,30-12-22,0.530010041
AES,AES Corporation,31-12-21,0.492443042
AES,AES Corporation,31-12-20,0.452301824
AES,AES Corporation,31-12-19,0.395066572
AES,AES Corporation,31-12-18,0.296572061
AES,AES Corporation,29-12-17,0.215867359
AES,AES Corporation,30-12-16,0.211358835
AES,AES Corporation,31-12-15,0.171662687
AFL,Aflac,30-12-22,0.348570514
AFL,Aflac,31-12-21,0.240818814
AFL,Aflac,31-12-20,0.185582502
AFL,Aflac,31-12-19,0.250831073
AFL,Aflac,31-12-18,0.243827414
AFL,Aflac,29-12-17,0.253341229
AFL,Aflac,30-12-16,0.220602389
AFL,Aflac,31-12-15,0.212035954
A,Agilent Technologies,30-12-22,4.205886821
A,Agilent Technologies,31-12-21,4.488991126
A,Agilent Technologies,31-12-20,3.766276098
A,Agilent Technologies,31-12-19,2.797936945
A,Agilent Technologies,31-12-18,2.511682473
A,Agilent Technologies,29-12-17,2.567209827
A,Agilent Technologies,30-12-16,1.880328121
A,Agilent Technologies,31-12-15,1.839215136
AIV,Aimco,30-12-22,0.546822511
AIV,Aimco,31-12-21,0.487423164
AIV,Aimco,31-12-20,0.441430042
AIV,Aimco,31-12-19,0.150107692
AIV,Aimco,31-12-18,0.140431966
AIV,Aimco,29-12-17,0.145752699
AIV,Aimco,30-12-16,0.147429383
AIV,Aimco,31-12-14,0.122984875
APD,Air Products,30-12-22,2.571707504
APD,Air Products,31-12-21,2.567214348
APD,Air Products,31-12-20,2.440841114
APD,Air Products,31-12-19,2.793395779
APD,Air Products,31-12-18,1.868713911
APD,Air Products,29-12-17,1.955428329
APD,Air Products,30-12-16,1.747042044
APD,Air Products,31-12-15,1.624683405
AKAM,Akamai Technologies,30-12-22,1.595044042
AKAM,Akamai Technologies,31-12-21,2.308019718
AKAM,Akamai Technologies,31-12-20,2.204982965
AKAM,Akamai Technologies,31-12-19,1.997016774
AKAM,Akamai Technologies,31-12-18,1.825498843
AKAM,Akamai Technologies,29-12-17,2.394098539
AKAM,Akamai Technologies,30-12-16,2.667065196
AKAM,Akamai Technologies,31-12-15,2.216871085
