Company Name,Industry,Headquarters Location,Number of Employees,Number of Reviews,Number of Salaries,Number of Jobs,Glassdoor Company Title,Glassdoor Overall Rating,Glassdoor Company Page URL,Glassdoor Company Logo URL
3M,Consumer Product Manufacturing,"Headquarters near Saint Paul, MN",10K+ Employees,6K Reviews,8K Salaries,1K Jobs,3M,3.9,"https://www.glassdoor.com/Overview/Working-at-3M-EI_IE446.11,13.htm",https://media.glassdoor.com/sql/446/3m-squarelogo-1512072386216.png
A. O. Smith,Machinery Manufacturing,"Headquarters near Milwaukee, WI",10K+ Employees,250 Reviews,435 Salaries,173 Jobs,A. O. Smith,3.7,"https://www.glassdoor.com/Overview/Working-at-A-O-Smith-EI_IE753.11,20.htm",https://media.glassdoor.com/sql/753/a-o-smith-squarelogo.png
Abbott Laboratories,Health Care Services & Hospitals,"Headquarters near Abbott Park, IL",10K+ Employees,8K Reviews,11K Salaries,3K Jobs,Abbott,3.8,"https://www.glassdoor.com/Overview/Working-at-Abbott-EI_IE12.11,17.htm",https://media.glassdoor.com/sql/12/abbott-squareLogo-1654182320813.png
AbbVie,Biotech & Pharmaceuticals,"Headquarters near North Chicago, IL",10K+ Employees,3K Reviews,5K Salaries,2K Jobs,AbbVie,3.9,"https://www.glassdoor.com/Overview/Working-at-AbbVie-EI_IE649837.11,17.htm",https://media.glassdoor.com/sql/649837/abbvie-squareLogo-1626275000792.png
Abiomed,Biotech & Pharmaceuticals,"Headquarters near Danvers, MA",1K to 5K Employees,269 Reviews,289 Salaries,197 Jobs,ABIOMED,3.5,"https://www.glassdoor.com/Overview/Working-at-ABIOMED-EI_IE755.11,18.htm",https://media.glassdoor.com/sql/755/abiomed-squarelogo-1609874773946.png
Accenture,Business Consulting,"Headquarters near Dublin, Ireland",10K+ Employees,121K Reviews,141K Salaries,48K Jobs,Accenture,4.1,"https://www.glassdoor.com/Overview/Working-at-Accenture-EI_IE4138.11,20.htm",https://media.glassdoor.com/sql/4138/accenture-squarelogo-1603988625135.png
Activision Blizzard,Video Game Publishing,"Headquarters near Santa Monica, CA",10K+ Employees,438 Reviews,803 Salaries,0 Jobs,Activision Blizzard,3.4,"https://www.glassdoor.com/Overview/Working-at-Activision-Blizzard-EI_IE605784.11,30.htm",https://media.glassdoor.com/sql/605784/activision-blizzard-squareLogo-1625606699102.png
ADM,Food & Beverage Manufacturing,"Headquarters near Chicago, IL",10K+ Employees,2K Reviews,3K Salaries,1K Jobs,Archer Daniels Midland (ADM),3.9,"https://www.glassdoor.com/Overview/Working-at-Archer-Daniels-Midland-ADM-EI_IE55.11,37.htm",https://media.glassdoor.com/sql/55/archer-daniels-midland-adm-squareLogo-1652960746489.png
Adobe Inc.,Computer Hardware Development,"Headquarters near San Jose, CA",10K+ Employees,8K Reviews,12K Salaries,2K Jobs,Adobe,4.4,"https://www.glassdoor.com/Overview/Working-at-Adobe-EI_IE1090.11,16.htm",https://media.glassdoor.com/sql/1090/adobe-squarelogo-1603148840654.png
ADP,Enterprise Software & Network Solutions,"Headquarters near Roseland, NJ",10K+ Employees,16K Reviews,21K Salaries,4K Jobs,ADP,4,"https://www.glassdoor.com/Overview/Working-at-ADP-EI_IE64.11,14.htm",https://media.glassdoor.com/sql/64/adp-squareLogo-1654093903241.png
Advance Auto Parts,Automotive Parts & Accessories Stores,"Headquarters near Raleigh, NC",10K+ Employees,4K Reviews,8K Salaries,16K Jobs,Advance Auto Parts,3.3,"https://www.glassdoor.com/Overview/Working-at-Advance-Auto-Parts-EI_IE8708.11,29.htm",https://media.glassdoor.com/sql/8708/advance-auto-parts-squarelogo-1488979910784.png
Advanced Micro Devices,Computer Hardware Development,"Headquarters near Santa Clara, CA",5K to 10K Employees,3K Reviews,7K Salaries,3K Jobs,AMD,4.2,"https://www.glassdoor.com/Overview/Working-at-AMD-EI_IE15.11,14.htm",https://media.glassdoor.com/sql/15/amd-squarelogo-1413388782139.png
AES Corporation,Energy & Utilities,"Headquarters near Arlington, VA",5K to 10K Employees,709 Reviews,725 Salaries,7 Jobs,AES Corporation,4.2,"https://www.glassdoor.com/Overview/Working-at-AES-Corporation-EI_IE291.11,26.htm",https://media.glassdoor.com/sql/291/aes-corporation-squarelogo-1603860671899.png
Aflac,Insurance Carriers,"Headquarters near Columbus, GA",10K+ Employees,4K Reviews,3K Salaries,556 Jobs,Aflac,3.9,"https://www.glassdoor.com/Overview/Working-at-Aflac-EI_IE1302.11,16.htm",https://media.glassdoor.com/sql/1302/aflac-squarelogo.png
Agilent Technologies,Biotech & Pharmaceuticals,"Headquarters near Santa Clara, CA",10K+ Employees,2K Reviews,4K Salaries,837 Jobs,Agilent Technologies,4.2,"https://www.glassdoor.com/Overview/Working-at-Agilent-Technologies-EI_IE9711.11,31.htm",https://media.glassdoor.com/sql/9711/agilent-technologies-squareLogo-1654084252611.png
Aimco,Real Estate,"Headquarters near Denver, CO",1K to 5K Employees,458 Reviews,691 Salaries,6 Jobs,Aimco,4,"https://www.glassdoor.com/Overview/Working-at-Aimco-EI_IE24024.11,16.htm",https://media.glassdoor.com/sql/24024/aimco-apartment-homes-squareLogo-1642620670234.png
Air Products,Chemical Manufacturing,"Headquarters near Allentown, PA",10K+ Employees,1K Reviews,2K Salaries,1K Jobs,Air Products,3.9,"https://www.glassdoor.com/Overview/Working-at-Air-Products-EI_IE17.11,23.htm",https://media.glassdoor.com/sql/17/air-products-squarelogo.png
Akamai Technologies,Information Technology Support Services,"Headquarters near Cambridge, MA",5K to 10K Employees,2K Reviews,4K Salaries,450 Jobs,Akamai,4.4,"https://www.glassdoor.com/Overview/Working-at-Akamai-EI_IE9219.11,17.htm",https://media.glassdoor.com/sql/9219/akamai-squarelogo-1483634220096.png
Alaska Air Group,"Airlines, Airports & Air Transportation","Headquarters near Seattle, WA",10K+ Employees,1K Reviews,1K Salaries,69 Jobs,Alaska Airlines,4,"https://www.glassdoor.com/Overview/Working-at-Alaska-Airlines-EI_IE19.11,26.htm",https://media.glassdoor.com/sql/19/alaska-airlines-squarelogo-1453767867811.png
Albemarle Corporation,Chemical Manufacturing,"Headquarters near Charlotte, NC",5K to 10K Employees,267 Reviews,544 Salaries,2 Jobs,Albemarle,3.8,"https://www.glassdoor.com/Overview/Working-at-Albemarle-EI_IE2561.11,20.htm",https://media.glassdoor.com/sql/2561/albemarle-squarelogo.png
Alexandria Real Estate Equities,Real Estate,"Headquarters near Pasadena, CA",201 to 500 Employees,52 Reviews,54 Salaries,85 Jobs,Alexandria Real Estate Equities,4,"https://www.glassdoor.com/Overview/Working-at-Alexandria-Real-Estate-Equities-EI_IE6956.11,42.htm",https://media.glassdoor.com/sql/6956/alexandria-real-estate-equities-squarelogo-1448963598810.png
Alexion Pharmaceuticals,Biotech & Pharmaceuticals,"Headquarters near Boston, MA",1K to 5K Employees,665 Reviews,977 Salaries,577 Jobs,Alexion Pharmaceuticals,3.8,"https://www.glassdoor.com/Overview/Working-at-Alexion-Pharmaceuticals-EI_IE6092.11,34.htm",https://media.glassdoor.com/sql/6092/alexion-pharmaceuticals-squarelogo.png
