Company Name,Number of Reviews
3M,1049
A. O. Smith,58
Abbott Laboratories,1254
AbbVie,454
Abiomed,61
Accenture,1610
Activision Blizzard,42
ADM,322
Adobe Inc.,333
ADP,4125
Advance Auto Parts,923
Advanced Micro Devices,413
AES Corporation,185
Aflac,359
Agilent Technologies,399
Aimco,113
Air Products,157
Akamai Technologies,621
Alaska Air Group,302
Albemarle Corporation,50
Alexandria Real Estate Equities,18
Alexion Pharmaceuticals,76
Align Technology,239
Allegion,111
Allergan,591
Alliant Energy,63
Allstate,1960
Altria,248
Amazon,24197
Amcor,193
Ameren,88
American Airlines Group,1125
American Electric Power,113
American Express,2782
American International Group,1676
American Tower,174
American Water,120
Ameriprise Financial,557
AmerisourceBergen,373
Ametek,120
Amgen,581
Amphenol,100
Analog Devices,262
Ansys,115
Aon,7
Apache,84
Apple Inc.,6397
Applied Materials,465
Aptiv,226
Arconic,333
Arista Networks,153
Arthur J. Gallagher & Co.,724
Assurant,539
AT&T,7939
Atmos Energy,49
Autodesk,693
AutoZone,1029
AvalonBay Communities,331
Avery Dennison,330
Baker Hughes,731
Ball Corporation,105
Bank of America,7008
"Bath & Body Works, Inc.",1521
Baxter International,587
BD,791
Berkshire Hathaway,270
Best Buy,7020
Biogen,305
BlackRock,888
BNY Mellon,2253
Boeing,2598
BorgWarner,169
Boston Properties,32
Boston Scientific,587
Bread Financial,310
Bristol Myers Squibb,608
Broadcom Inc.,638
Broadridge Financial Solutions,496
Brown–Forman,159
C. H. Robinson,638
Cadence Design Systems,355
Campbell Soup Company,264
Capital One,3103
Capri Holdings,681
Cardinal Health,851
CarMax,1319
Carnival Corporation & plc,322
Caterpillar Inc.,1204
Cboe Global Markets,27
CBRE Group,1912
CDW,644
Celanese,74
Centene Corporation,778
CenterPoint Energy,124
Cerner,1929
CF Industries,39
Charles Schwab Corporation,836
Chevron Corporation,876
Chipotle Mexican Grill,3133
Chubb Limited,615
Church & Dwight,117
Cigna,892
Cimarex Energy,18
Cincinnati Financial,64
Cintas,1064
Cisco Systems,6179
Citigroup,5438
Citizens,873
Citrix Systems,820
Clorox,260
CME Group,201
Cognizant Technology Solutions,19007
Colgate-Palmolive,466
Comcast,3409
Comerica,269
Conagra Brands,240
Concho,18
ConocoPhillips,282
Consolidated Edison,208
Constellation Brands,112
Consumers Energy,71
Copart,189
Corning Inc.,260
Corteva,75
Costco,2668
Coterra,146
Coty Inc.,564
Crown Castle,200
CSX Corporation,346
Cummins,1075
CVS Health,6983
D.R. Horton,186
Danaher Corporation,113
Darden Restaurants,330
DaVita Inc.,1320
Delta Air Lines,1174
Dentsply Sirona,192
Devon Energy,128
Diamondback Energy,9
Digital Realty,169
Discover Financial,691
"Discovery, Inc.",366
Dish Network,1231
Dollar General,2845
Dollar Tree,1704
Dominion Energy,125
Dover Corporation,107
Dow Inc.,596
DTE Energy,105
Duke Energy,305
Duke Realty,10
DuPont,484
DXC Technology,6935
Eastman Chemical Company,337
Eaton Corporation,1079
eBay,896
Ecolab,839
Edwards Lifesciences,212
Electronic Arts,597
Elevance Health,1245
Eli Lilly and Company,731
Emerson Electric,1047
Entergy,84
EOG Resources,56
Equifax,480
Equinix,237
Equity Residential,265
Essex Property Trust,117
Everest Re,50
Evergy,15
Eversource Energy,158
Exelon,189
Expedia Group,1255
Expeditors International,402
Extra Space Storage,603
ExxonMobil,265
"F5, Inc.",318
Fastenal Co,966
Federal Realty Investment Trust,17
FedEx,1714
Fifth Third Bank,627
First Republic Bank,163
FirstEnergy,77
FIS,1743
Fiserv,1334
Fleetcor,153
Flowserve,216
FMC Corporation,97
Ford Motor Company,1718
Fortinet,516
Fox Corporation,5
Franklin Templeton Investments,345
Freeport-McMoRan,188
Gap Inc.,645
Garmin,228
Gartner,1735
General Dynamics,148
General Electric,3776
General Mills,645
General Motors,2090
Genuine Parts Company,68
Gilead Sciences,308
Global Payments,135
Globe Life,96
Goldman Sachs,2464
Grainger,706
H&R Block,1196
Halliburton,1038
Hanesbrands,182
Harley-Davidson,239
Hasbro,178
HCA Healthcare,892
Healthpeak Properties,7
Helmerich & Payne,64
Henry Schein,303
Hess Corporation,90
Hewlett Packard Enterprise,5463
