Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
A,45846,USD,2016,FY,2016-10-31,2016-12-20,2018-12-20,326000000.0,329000000.0,4202000000.0,-2005000000.0,2197000000.0,-1582000000.0,-1253000000.0,-329000000.0,,615000000,-71000000.0,-61000000.0,544000000,,544000000,-82000000.0,462000000,,462000000,462000000
A,45846,USD,2017,FY,2017-10-31,2017-12-21,2018-12-20,322000000.0,326000000.0,4472000000.0,-2063000000.0,2409000000.0,-1568000000.0,-1229000000.0,-339000000.0,,841000000,-38000000.0,-57000000.0,803000000,,803000000,-119000000.0,684000000,,684000000,684000000
A,45846,USD,2018,FY,2018-10-31,2018-12-20,2020-12-18,321000000.0,325000000.0,4914000000.0,-2234000000.0,2680000000.0,-1776000000.0,-1389000000.0,-387000000.0,,904000000,42000000.0,-37000000.0,946000000,,946000000,-630000000.0,316000000,,316000000,316000000
A,45846,USD,2019,FY,2019-10-31,2019-12-19,2021-12-17,314000000.0,318000000.0,5163000000.0,-2358000000.0,2805000000.0,-1864000000.0,-1460000000.0,-404000000.0,,941000000,-22000000.0,-38000000.0,919000000,,919000000,152000000.0,1071000000,,1071000000,1071000000
A,45846,USD,2020,FY,2020-10-31,2020-12-18,2021-12-17,309000000.0,312000000.0,5339000000.0,-2502000000.0,2837000000.0,-1991000000.0,-1496000000.0,-495000000.0,,846000000,-4000000.0,-70000000.0,842000000,,842000000,-123000000.0,719000000,,719000000,719000000
AAL,68568,USD,2016,FY,2016-12-31,2017-02-22,2017-02-22,552308000.0,556099000.0,40180000000.0,-26814000000.0,13366000000.0,-8082000000.0,-1323000000.0,,-1525000000.0,5284000000,-985000000.0,-928000000.0,4299000000,,4299000000,-1623000000.0,2676000000,,2676000000,2676000000
AAL,68568,USD,2017,FY,2017-12-31,2018-02-21,2019-02-25,489164000.0,491692000.0,42622000000.0,-29590000000.0,13032000000.0,-8801000000.0,-1477000000.0,,-1702000000.0,4231000000,-836000000.0,-959000000.0,3395000000,,3395000000,-2113000000.0,1282000000,,1282000000,1282000000
AAL,68568,USD,2018,FY,2018-12-31,2019-02-25,2021-02-17,464236000.0,465660000.0,44541000000.0,-20400000000.0,24141000000.0,-21485000000.0,-1520000000.0,,-1839000000.0,2656000000,-772000000.0,-938000000.0,1884000000,,1884000000,-472000000.0,1412000000,,1412000000,1412000000
AAL,68568,USD,2019,FY,2019-12-31,2020-02-19,2022-02-22,443363000.0,444269000.0,45768000000.0,-32654000000.0,13114000000.0,-10049000000.0,-2004000000.0,,-1982000000.0,3065000000,-809000000.0,-968000000.0,2256000000,,2256000000,-570000000.0,1686000000,,1686000000,1686000000
AAL,68568,USD,2020,FY,2020-12-31,2021-02-17,2022-02-22,483888000.0,483888000.0,17337000000.0,-22523000000.0,-5186000000.0,-5235000000.0,-666000000.0,,-2040000000.0,-10421000000,-1032000000.0,-1186000000.0,-11453000000,,-11453000000,2568000000.0,-8885000000,,-8885000000,-8885000000
AAP,184955,USD,2016,FY,2016-12-31,2017-02-28,2019-02-19,73562000.0,73856000.0,9567679000.0,-5311764000.0,4255915000.0,-3468317000.0,-3468317000.0,,,787598000,-48763000.0,-59910000.0,738835000,,738835000,-279213000.0,459622000,,459622000,459622000
AAP,184955,USD,2017,FY,2017-12-31,2018-02-21,2020-02-18,73846000.0,74110000.0,9373784000.0,-5288735000.0,4085049000.0,-3514837000.0,-3514837000.0,,,570212000,-49953000.0,-58801000.0,520259000,,520259000,-44754000.0,475505000,,475505000,475505000
AAP,184955,USD,2018,FY,2018-12-31,2019-02-19,2021-02-22,73728000.0,73991000.0,9580554000.0,-5361141000.0,4219413000.0,-3615138000.0,-3615138000.0,,,604275000,-49011000.0,-56588000.0,555264000,,555264000,-131417000.0,423847000,,423847000,423847000
AAP,184955,USD,2019,FY,2019-12-31,2020-02-18,2022-02-15,70869000.0,71165000.0,9709003000.0,-5454257000.0,4254746000.0,-3577566000.0,-3577566000.0,,,677180000,-28678000.0,-39898000.0,648502000,-10756000.0,637746000,-150850000.0,486896000,,486896000,486896000
