Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,Wikipedia Company Page URL,Company Name
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740,1902,https://en.wikipedia.org/wiki/3M,3M
AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916,https://en.wikipedia.org/wiki/A.O._Smith_Corp,A. O. Smith
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800,1888,https://en.wikipedia.org/wiki/Abbott_Laboratories,Abbott Laboratories
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,1551152,2013 (1888),https://en.wikipedia.org/wiki/AbbVie_Inc.,AbbVie
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,815094,1981,https://en.wikipedia.org/wiki/Abiomed,Abiomed
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1467373,1989,https://en.wikipedia.org/wiki/Accenture_plc,Accenture
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,718877,2008,https://en.wikipedia.org/wiki/Activision_Blizzard,Activision Blizzard
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",7/29/1981,7084,1902,https://en.wikipedia.org/wiki/Archer-Daniels-Midland_Co,ADM
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",5/5/1997,796343,1982,https://en.wikipedia.org/wiki/Adobe_Systems_Inc,Adobe Inc.
ADP,Automatic Data Processing,reports,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",3/31/1981,8670,,https://en.wikipedia.org/wiki/Automatic_Data_Processing,ADP
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,1158449,1932,https://en.wikipedia.org/wiki/Advance_Auto_Parts,Advance Auto Parts
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Sunnyvale, California",3/20/2017,2488,1969,https://en.wikipedia.org/wiki/Advanced_Micro_Devices_Inc,Advanced Micro Devices
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,874761,1981,https://en.wikipedia.org/wiki/AES_Corp,AES Corporation
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,4977,1955,https://en.wikipedia.org/wiki/AFLAC_Inc,Aflac
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1090872,1999,https://en.wikipedia.org/wiki/Agilent_Technologies_Inc,Agilent Technologies
AIV,Apartment Investment & Management,reports,Real Estate,Residential REITs,"Denver, Colorado",3/14/2003,922864,1994 (1975),https://en.wikipedia.org/wiki/Apartment_Investment_%26_Management,Aimco
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,2969,1940,https://en.wikipedia.org/wiki/Air_Products_%26_Chemicals_Inc,Air Products
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1086222,1998,https://en.wikipedia.org/wiki/Akamai_Technologies_Inc,Akamai Technologies
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,"Seattle, Washington",5/13/2016,766421,1985,https://en.wikipedia.org/wiki/Alaska_Air_Group_Inc,Alaska Air Group
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,915913,1994,https://en.wikipedia.org/wiki/Albemarle_Corp,Albemarle Corporation
