Company Name,Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,Wikipedia Company Page URL,Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
3M,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740,1902,https://en.wikipedia.org/wiki/3M,MMM,22219.0,USD,2017.0,FY,2017-12-31,2018-02-08,2019-02-07,597500000.0,612700000.0,31657000000.0,-16055000000.0,15602000000.0,-8496000000.0,-6626000000.0,-1870000000.0,,7106000000.0,-144000000.0,-144000000.0,6962000000.0,586000000.0,7548000000.0,-2679000000.0,4869000000.0,,4858000000.0,4858000000.0
3M,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740,1902,https://en.wikipedia.org/wiki/3M,MMM,22219.0,USD,2018.0,FY,2018-12-31,2019-02-07,2021-02-04,588500000.0,602000000.0,32765000000.0,-16682000000.0,16083000000.0,-9423000000.0,-7602000000.0,-1821000000.0,,6660000000.0,-207000000.0,,6453000000.0,547000000.0,7000000000.0,-1637000000.0,5363000000.0,,5349000000.0,5349000000.0
3M,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740,1902,https://en.wikipedia.org/wiki/3M,MMM,22219.0,USD,2019.0,FY,2019-12-31,2020-02-06,2022-02-09,577000000.0,585100000.0,32136000000.0,-17136000000.0,15000000000.0,-8940000000.0,-7029000000.0,-1911000000.0,,6060000000.0,-531000000.0,,5529000000.0,114000000.0,5643000000.0,-1114000000.0,4529000000.0,,4517000000.0,4517000000.0
3M,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740,1902,https://en.wikipedia.org/wiki/3M,MMM,22219.0,USD,2020.0,FY,2020-12-31,2021-02-04,2023-02-08,577600000.0,582200000.0,32184000000.0,-16605000000.0,15579000000.0,-8807000000.0,-6929000000.0,-1878000000.0,,6772000000.0,-366000000.0,,6406000000.0,389000000.0,6795000000.0,-1337000000.0,5453000000.0,,5449000000.0,5449000000.0
3M,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740,1902,https://en.wikipedia.org/wiki/3M,MMM,22219.0,USD,2021.0,FY,2021-12-31,2022-02-09,2023-02-08,579600000.0,586300000.0,35355000000.0,-18795000000.0,16560000000.0,-9191000000.0,-7197000000.0,-1994000000.0,,7369000000.0,-165000000.0,,7204000000.0,,7204000000.0,-1285000000.0,5929000000.0,,5921000000.0,5921000000.0
A. O. Smith,AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916,https://en.wikipedia.org/wiki/A.O._Smith_Corp,AOS,445771.0,USD,2017.0,FY,2017-12-31,2018-02-16,2018-02-16,172666056.0,174605189.0,2996700000.0,-1758000000.0,1238700000.0,-718200000.0,-718200000.0,,,520500000.0,300000.0,-10100000.0,520800000.0,,520800000.0,-224300000.0,296500000.0,,296500000.0,296500000.0
A. O. Smith,AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916,https://en.wikipedia.org/wiki/A.O._Smith_Corp,AOS,445771.0,USD,2018.0,FY,2018-12-31,2019-02-15,2021-02-12,170589345.0,172194040.0,3187900000.0,-1882400000.0,1305500000.0,-753800000.0,-753800000.0,,,551700000.0,12800000.0,-8400000.0,564500000.0,-6700000.0,557800000.0,-113600000.0,444200000.0,,444200000.0,444200000.0
A. O. Smith,AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916,https://en.wikipedia.org/wiki/A.O._Smith_Corp,AOS,445771.0,USD,2019.0,FY,2019-12-31,2020-02-24,2022-02-11,165450441.0,166710897.0,2992700000.0,-1812000000.0,1180700000.0,-715600000.0,-715600000.0,,,465100000.0,7000000.0,-11000000.0,472100000.0,,472100000.0,-102100000.0,370000000.0,,370000000.0,370000000.0
A. O. Smith,AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916,https://en.wikipedia.org/wiki/A.O._Smith_Corp,AOS,445771.0,USD,2020.0,FY,2020-12-31,2021-02-12,2023-02-14,161530589.0,162604149.0,2895300000.0,-1787100000.0,1108200000.0,-660300000.0,-660300000.0,,,447900000.0,3700000.0,-7300000.0,451600000.0,-7700000.0,443900000.0,-99000000.0,344900000.0,,344900000.0,344900000.0
A. O. Smith,AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916,https://en.wikipedia.org/wiki/A.O._Smith_Corp,AOS,445771.0,USD,2021.0,FY,2021-12-31,2022-02-11,2023-02-14,159162102.0,160171000.0,3538900000.0,-2228000000.0,1310900000.0,-701400000.0,-701400000.0,,,609500000.0,16100000.0,-4300000.0,625600000.0,,625600000.0,-138500000.0,487100000.0,,487100000.0,487100000.0
Abbott Laboratories,ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800,1888,https://en.wikipedia.org/wiki/Abbott_Laboratories,ABT,63877.0,USD,2017.0,FY,2017-12-31,2018-02-16,2019-02-22,1740000000.0,1749000000.0,27390000000.0,-12409000000.0,14981000000.0,-13417000000.0,-9182000000.0,-2260000000.0,-1975000000.0,1564000000.0,667000000.0,-780000000.0,2231000000.0,,2231000000.0,-1878000000.0,353000000.0,124000000.0,477000000.0,477000000.0
Abbott Laboratories,ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800,1888,https://en.wikipedia.org/wiki/Abbott_Laboratories,ABT,63877.0,USD,2018.0,FY,2018-12-31,2019-02-22,2021-02-19,1758000000.0,1770000000.0,30578000000.0,-12706000000.0,17872000000.0,-14222000000.0,-9744000000.0,-2300000000.0,-2178000000.0,3650000000.0,-610000000.0,-721000000.0,3040000000.0,-167000000.0,2873000000.0,-539000000.0,2334000000.0,34000000.0,2368000000.0,2368000000.0
Abbott Laboratories,ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800,1888,https://en.wikipedia.org/wiki/Abbott_Laboratories,ABT,63877.0,USD,2019.0,FY,2019-12-31,2020-02-21,2022-02-18,1768000000.0,1781000000.0,31904000000.0,-13231000000.0,18673000000.0,-14141000000.0,-9765000000.0,-2440000000.0,-1936000000.0,4532000000.0,-392000000.0,-576000000.0,4140000000.0,-63000000.0,4077000000.0,-390000000.0,3687000000.0,,3687000000.0,3687000000.0
Abbott Laboratories,ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800,1888,https://en.wikipedia.org/wiki/Abbott_Laboratories,ABT,63877.0,USD,2020.0,FY,2020-12-31,2021-02-19,2023-02-17,1773000000.0,1786000000.0,34608000000.0,-15003000000.0,19605000000.0,-14248000000.0,-9696000000.0,-2420000000.0,-2132000000.0,5357000000.0,-389000000.0,-500000000.0,4968000000.0,,4968000000.0,-497000000.0,4471000000.0,24000000.0,4495000000.0,4495000000.0
Abbott Laboratories,ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800,1888,https://en.wikipedia.org/wiki/Abbott_Laboratories,ABT,63877.0,USD,2021.0,FY,2021-12-31,2022-02-18,2023-02-17,1768286969.0,1782000000.0,43075000000.0,-18537000000.0,24538000000.0,-16113000000.0,-11324000000.0,-2742000000.0,-2047000000.0,8425000000.0,-214000000.0,-490000000.0,8211000000.0,,8211000000.0,-1140000000.0,7071000000.0,,7071000000.0,7071000000.0
AbbVie,ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,1551152,2013 (1888),https://en.wikipedia.org/wiki/AbbVie_Inc.,ABBV,61199.0,USD,2017.0,FY,2017-12-31,2018-02-16,2019-02-27,1596000000.0,1603000000.0,28216000000.0,-7042000000.0,21174000000.0,-11302000000.0,-6295000000.0,-5007000000.0,,9872000000.0,-1818000000.0,-1004000000.0,8054000000.0,-327000000.0,7727000000.0,-2418000000.0,5309000000.0,,5309000000.0,5309000000.0
AbbVie,ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,1551152,2013 (1888),https://en.wikipedia.org/wiki/AbbVie_Inc.,ABBV,61199.0,USD,2018.0,FY,2018-12-31,2019-02-27,2021-02-19,1541000000.0,1546000000.0,32753000000.0,-7718000000.0,25035000000.0,-18228000000.0,-7399000000.0,-10329000000.0,,6807000000.0,-1186000000.0,-1144000000.0,5621000000.0,-424000000.0,5197000000.0,490000000.0,5687000000.0,,5687000000.0,5687000000.0
